,lr,nb,rf,sgd,weight
0,0.30726256983240224,0.22224162011173185,0.3231494413407821,0.2770600558659218,0
0,0.2208449720670391,0.16218575418994413,0.2395251396648045,0.18889664804469275,1
1,0.2204958100558659,0.16393156424581007,0.2348114525139665,0.2156075418994413,2
2,0.2206703910614525,0.1653282122905028,0.2412709497206704,0.19273743016759776,3
3,0.2208449720670391,0.16602653631284914,0.2391759776536313,0.19518156424581007,4
4,0.22119413407821228,0.16672486033519554,0.23969972067039105,0.17458100558659218,5
5,0.2170041899441341,0.16812150837988826,0.2360335195530726,0.1632332402234637,6
6,0.2143854748603352,0.16899441340782126,0.2307960893854749,0.1946578212290503,7
7,0.21822625698324025,0.169518156424581,0.2346368715083799,0.1539804469273743,8
8,0.21962290502793294,0.1700418994413408,0.23201815642458104,0.2440642458100559,9
9,0.2170041899441341,0.17056564245810055,0.2351606145251397,0.21490921787709494,10
10,0.2194483240223464,0.17108938547486033,0.2395251396648045,0.17685055865921787,11
11,0.22503491620111726,0.1700418994413408,0.2419692737430168,0.2889315642458101,12
12,0.21997206703910616,0.16934357541899442,0.2349860335195531,0.1564245810055866,13
13,0.21997206703910616,0.16899441340782126,0.24179469273743015,0.15625,14
14,0.22014664804469275,0.1702164804469274,0.2355097765363129,0.3128491620111732,15
15,0.21735335195530725,0.16934357541899442,0.2323673184357542,0.10789106145251397,16
16,0.2197974860335196,0.16864525139664804,0.2339385474860335,0.2782821229050279,17
17,0.21787709497206706,0.16881983240223464,0.2342877094972067,0.1384427374301676,18
18,0.22486033519553075,0.16864525139664804,0.23166899441340785,0.2210195530726257,19
19,0.2166550279329609,0.16864525139664804,0.2346368715083799,0.1295391061452514,20
20,0.22189245810055866,0.16829608938547486,0.2344622905027933,0.1426326815642458,21
21,0.22119413407821228,0.16881983240223464,0.2355097765363129,0.2164804469273743,22
22,0.22241620111731844,0.16864525139664804,0.24231843575418996,0.2699022346368715,23
23,0.2204958100558659,0.16916899441340782,0.23568435754189945,0.1583449720670391,24
24,0.2197974860335196,0.16812150837988826,0.2369064245810056,0.3135474860335196,25
25,0.2189245810055866,0.16794692737430167,0.2346368715083799,0.10858938547486034,26
26,0.21962290502793294,0.16794692737430167,0.2330656424581005,0.08816340782122906,27
27,0.22241620111731844,0.16812150837988826,0.23987430167597765,0.120286312849162,28
28,0.22171787709497207,0.16864525139664804,0.23114525139664804,0.11941340782122906,29
29,0.22293994413407825,0.16881983240223464,0.237604748603352,0.12238128491620112,30
30,0.21805167597765365,0.16899441340782126,0.2346368715083799,0.06284916201117319,31
31,0.2170041899441341,0.16934357541899442,0.2428421787709497,0.20268854748603352,32
32,0.2163058659217877,0.16934357541899442,0.2360335195530726,0.17772346368715086,33
33,0.223463687150838,0.169518156424581,0.2349860335195531,0.12238128491620112,34
34,0.22154329608938547,0.1702164804469274,0.22922486033519554,0.1541550279329609,35
35,0.2184008379888268,0.1700418994413408,0.2386522346368715,0.17929469273743018,36
36,0.2208449720670391,0.1700418994413408,0.2372555865921788,0.2753142458100559,37
37,0.21822625698324025,0.1702164804469274,0.23585893854748605,0.15939245810055866,38
38,0.2253840782122905,0.17056564245810055,0.2337639664804469,0.3107541899441341,39
39,0.2231145251396648,0.17039106145251395,0.23830307262569836,0.26466480446927376,40
40,0.21822625698324025,0.17039106145251395,0.2362081005586592,0.2901536312849162,41
41,0.22486033519553075,0.1698673184357542,0.23708100558659215,0.07472067039106145,42
42,0.22154329608938547,0.1698673184357542,0.24039804469273746,0.2615223463687151,43
43,0.21717877094972068,0.16899441340782126,0.2337639664804469,0.2819483240223464,44
44,0.21595670391061453,0.16899441340782126,0.2293994413407821,0.21822625698324025,45
45,0.21997206703910616,0.16881983240223464,0.2388268156424581,0.13058659217877094,46
46,0.2190991620111732,0.16916899441340782,0.23830307262569836,0.24668296089385475,47
47,0.22259078212290506,0.16847067039106145,0.23201815642458104,0.30080307262569833,48
48,0.22014664804469275,0.16794692737430167,0.23795391061452514,0.14647346368715086,49
49,0.22276536312849166,0.1674231843575419,0.2384776536312849,0.2706005586592179,50
50,0.2203212290502793,0.16794692737430167,0.2325418994413408,0.22503491620111726,51
51,0.2206703910614525,0.16759776536312848,0.24476256983240224,0.147695530726257,52
